model auto,year of production,mileage,exterior colour,tax,transmission,wheel drive,condition,number of owners,engine volume,engine power,engine type,fuel type,acceleration,MPG,country of the car brand,class,top speed,environmental class,price
"BMW 5 серии Gran Turismo 530d xDrive, 2013",2013,97 000 км,белый,20 640  / год,автоматическая,полный,Не требует ремонта,3 или более,3.0 л,258 л.с.,дизельный ,ДТ ,6.2 с,6.2 л,Германия ,E ,243 км/ч,Euro 6 ,3 440 000 
"Toyota Hilux, 2015",2015,176 000 км,чёрный,?,механическая,полный,Не требует ремонта,1 владелец,2.4 л,150 л.с.,дизельный ,ДТ ,13.2 с,7.3 л,Япония ,J ,170 км/ч,Euro 5 ,2 525 000 
"Tesla Model Y Long Range Dual Motor, 2022",2022,16 300 км,серый,0  / год,автоматическая,полный,Не требует ремонта,1 владелец,1840 л,514 л.с.,Электро ,?,5.0 с,?,США ,D ,217 км/ч,?,5 500 000 
"Audi A4 allroad, 2016",2016,227 500 км,чёрный,17 430  / год,роботизированная,полный,Не требует ремонта,2 владельца,2.0 л,249 л.с.,бензиновый ,АИ-95 ,6.1 с,6.4 л,Германия ,D ,246 км/ч,Euro 6 ,2 820 000 
"Skoda Rapid, 2017",2017,65 701 км,белый,2 070  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,90 л.с.,бензиновый ,АИ-95 ,11.4 с,5.8 л,Чехия ,B ,185 км/ч,Euro 5 ,1 239 000 
"Renault Logan, 2016",2016,172 000 км,чёрный,1 886  / год,механическая,передний,Не требует ремонта,2 владельца,1.6 л,82 л.с.,бензиновый ,АИ-95 ,11.9 с,7.2 л,Франция ,B ,172 км/ч,Euro 5 ,570 000 
"Renault Duster, 2014",2014,131 159 км,белый,3 162  / год,механическая,полный,Не требует ремонта,2 владельца,1.6 л,102 л.с.,бензиновый ,АИ-95 ,13.5 с,8.2 л,Франция ,B ,158 км/ч,Euro 4 ,1 147 000 
"Lada (ВАЗ) Vesta, 2020",2020,64 564 км,белый,3 498  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,106 л.с.,бензиновый ,АИ-92 ,11.2 с,6.9 л,Россия ,B ,175 км/ч,Euro 5 ,1 129 000 
"Toyota Camry, 2018",2018,96 725 км,белый,5 100  / год,автоматическая,передний,Не требует ремонта,2 владельца,2.0 л,150 л.с.,бензиновый ,АИ-95 ,11.0 с,7.1 л,Япония ,D ,210 км/ч,Euro 5 ,2 149 000 
"УАЗ Patriot, 2019",2019,119 700 км,чёрный,5 100  / год,механическая,полный,Не требует ремонта,2 владельца,2.7 л,150 л.с.,бензиновый ,АИ-92 ,20.0 с,12.5 л,Россия ,J ,150 км/ч,Euro 5 ,1 100 000 
"Kia Carnival, 2022",2022,14 000 км,чёрный,13 130  / год,автоматическая,передний,Не требует ремонта,1 владелец,2.2 л,202 л.с.,дизельный ,ДТ ,13.6 с,7.6 л,Южная Корея ,M ,?,?,4 999 000 
"SsangYong Kyron, 2013",2013,181 260 км,белый,4 653  / год,механическая,полный,Не требует ремонта,1 владелец,2.0 л,141 л.с.,дизельный ,ДТ ,16.2 с,7.7 л,Южная Корея ,J ,167 км/ч,?,820 000 
"Porsche Cayenne, 2019",2019,68 426 км,чёрный,42 500  / год,автоматическая,полный,Не требует ремонта,2 владельца,3.0 л,340 л.с.,бензиновый ,АИ-98 ,6.2 с,9.2 л,Германия ,E ,245 км/ч,Euro 6 ,8 290 000 
"Lexus ES 200, 2016",2016,162 000 км,чёрный,5 100  / год,автоматическая,передний,Не требует ремонта,3 или более,2.0 л,150 л.с.,бензиновый ,АИ-95 ,11.6 с,6.9 л,Япония ,E ,200 км/ч,?,2 250 000 
"Nissan Qashqai+2, 2012",2012,174 674 км,серый,3 534  / год,механическая,передний,Не требует ремонта,2 владельца,1.6 л,114 л.с.,бензиновый ,АИ-95 ,12.9 с,6.8 л,Япония ,C ,177 км/ч,?,1 220 000 
"Kia Cerato, 2018",2018,79 012 км,белый,4 420  / год,автоматическая,передний,Не требует ремонта,2 владельца,1.6 л,130 л.с.,бензиновый ,АИ-95 ,11.6 с,7.0 л,Южная Корея ,C ,195 км/ч,Euro 5 ,1 629 000 
"Toyota Land Cruiser, 2000",2000,268 991 км,чёрный,15 275  / год,автоматическая,полный,Не требует ремонта,3 или более,4.7 л,235 л.с.,бензиновый ,АИ-95 ,11.7 с,18.1 л,Япония ,J ,175 км/ч,?,1 350 000 
"УАЗ Patriot, 2018",2018,37 123 км,белый,4 590  / год,механическая,полный,Не требует ремонта,1 владелец,2.7 л,135 л.с.,бензиновый ,АИ-92 ,20.0 с,14.0/11.5/- л/100 км,Россия ,J ,150 км/ч,Euro 4 ,1 335 000 
"Volkswagen Polo, 2020",2020,67 646 км,белый,3 630  / год,автоматическая,передний,Не требует ремонта,1 владелец,1.6 л,110 л.с.,бензиновый ,АИ-95 ,11.8 с,6.6 л,Германия ,B ,190 км/ч,Euro 5 ,1 670 000 
"Kia Ceed, 2013",2013,113 000 км,коричневый,4 257  / год,автоматическая,передний,Не требует ремонта,3 или более,1.6 л,129 л.с.,бензиновый ,АИ-95 ,11.5 с,6.8 л,Южная Корея ,C ,192 км/ч,Euro 4 ,1 312 000 
"Lada (ВАЗ) Granta, 2019",2019,24 000 км,серебристый,2 001  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,87 л.с.,бензиновый ,АИ-95 ,11.9 с,6.8 л,Россия ,B ,170 км/ч,Euro 5 ,840 000 
"Mitsubishi L200, 2007",2007,200 000 км,серебристый,?,механическая,полный,Не требует ремонта,3 или более,2.5 л,136 л.с.,дизельный ,ДТ ,14.6 с,8.6 л,Япония ,J ,167 км/ч,Euro 4 ,977 777 
"Tesla Model Y Long Range Dual Motor, 2022",2022,354 км,белый,0  / год,автоматическая,полный,Не требует ремонта,1 владелец,1840 л,514 л.с.,Электро ,?,5.0 с,?,США ,D ,217 км/ч,?,6 150 000 
"BMW 5 серии 530i xDrive, 2022",2022,1 825 км,серый,22 680  / год,автоматическая,полный,Не требует ремонта,2 владельца,2.0 л,252 л.с.,бензиновый ,АИ-95 ,6.3 с,6.1 л,Германия ,E ,250 км/ч,Euro 6 ,9 200 000 
"Hyundai Getz, 2006",2006,232 000 км,серый,1 940  / год,механическая,передний,Не требует ремонта,3 или более,1.4 л,97 л.с.,бензиновый ,АИ-92 ,11.2 с,5.9 л,Южная Корея ,B ,174 км/ч,?,475 000 
"Hyundai ix35, 2013",2013,178 278 км,серебристый,4 950  / год,автоматическая,полный,Не требует ремонта,3 или более,2.0 л,150 л.с.,бензиновый ,АИ-95 ,11.3 с,8.2 л,Южная Корея ,C ,176 км/ч,?,1 570 000 
"Nissan Juke, 2011",2011,98 000 км,белый,3 627  / год,механическая,передний,Не требует ремонта,2 владельца,1.6 л,117 л.с.,бензиновый ,АИ-95 ,11.0 с,6.3 л,Япония ,B ,178 км/ч,?,970 000 
"Daewoo Nexia, 2012",2012,152 000 км,чёрный,3 379  / год,механическая,передний,Не требует ремонта,3 или более,1.6 л,109 л.с.,бензиновый ,АИ-92 ,11.0 с,8.9 л,Южная Корея ,C ,185 км/ч,?,170 000 
"Lada (ВАЗ) Largus Cross, 2021",2021,91 643 км,белый,3 498  / год,механическая,передний,Не требует ремонта,3 или более,1.6 л,106 л.с.,бензиновый ,АИ-92 ,13.5 с,7.8 л,Россия ,C ,170 км/ч,Euro 5 ,1 600 000 
"Chery Tiggo 4 Pro, 2023",2023,20 094 км,белый,3 729  / год,вариатор,передний,Не требует ремонта,1 владелец,1.5 л,113 л.с.,бензиновый ,АИ-92 ,14.6 с,7.3 л,Китай ,B ,165 км/ч,Euro 5 ,1 787 000 
"Porsche Cayenne, 2020",2020,59 776 км,чёрный,45 900  / год,автоматическая,полный,Не требует ремонта,3 или более,3.0 л,340 л.с.,бензиновый ,АИ-98 ,6.2 с,9.2 л,Германия ,E ,245 км/ч,Euro 6 ,8 990 000 
"Opel Mokka, 2014",2014,165 941 км,коричневый,4 620  / год,механическая,передний,Не требует ремонта,1 владелец,1.8 л,140 л.с.,бензиновый ,АИ-95 ,10.9 с,7.1 л,Германия ,B ,180 км/ч,Euro 4 ,1 120 000 
"Audi A5, 2008",2008,178 000 км,белый,19 875  / год,автоматическая,полный,Не требует ремонта,3 или более,3.2 л,265 л.с.,бензиновый ,АИ-95 ,6.4 с,9.0 л,Германия ,D ,250 км/ч,?,900 000 
"Changan UNI-T, 2023",2023,39 720 км,серый,7 849  / год,роботизированная,передний,Не требует ремонта,2 владельца,1.5 л,167 л.с.,бензиновый ,АИ-92 ,?,?,Китай ,C ,?,?,2 315 000 
"Renault Logan, 2015",2015,150 000 км,белый,3 296  / год,автоматическая,передний,Не требует ремонта,1 владелец,1.6 л,103 л.с.,бензиновый ,АИ-92 ,11.7 с,8.4 л,Франция ,B ,175 км/ч,Euro 4 ,579 000 
"Toyota Camry, 2012",2012,131 025 км,чёрный,8 688  / год,автоматическая,передний,Не требует ремонта,2 владельца,2.5 л,181 л.с.,бензиновый ,АИ-95 ,9.0 с,7.8 л,Япония ,E ,210 км/ч,Euro 4 ,2 149 000 
"Lada (ВАЗ) XRAY, 2018",2018,113 000 км,белый,3 904  / год,роботизированная,передний,Не требует ремонта,1 владелец,1.8 л,122 л.с.,бензиновый ,АИ-92 ,10.9 с,6.8 л,Россия ,B ,186 км/ч,?,888 000 
"Nissan Patrol, 2003",2003,230 000 км,синий,6 952  / год,автоматическая,полный,Не требует ремонта,3 или более,3.0 л,158 л.с.,дизельный ,ДТ ,16.9 с,10.8 л,Япония ,J ,165 км/ч,?,1 000 000 
"Lada (ВАЗ) Vesta SW, 2019",2019,77 000 км,коричневый,3 392  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,106 л.с.,бензиновый ,АИ-92 ,12.4 с,7.3 л,Россия ,B ,178 км/ч,Euro 5 ,1 027 000 
"Kia Sorento Prime, 2017",2017,219 000 км,белый,9 212  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.4 л,188 л.с.,бензиновый ,АИ-95 ,10.5 с,9.4 л,Южная Корея ,D ,195 км/ч,Euro 6 ,2 050 000 
"Mercedes-Benz G-Класс AMG 63 AMG, 2016",2016,102 000 км,чёрный,214 125  / год,автоматическая,полный,Не требует ремонта,3 или более,5.5 л,571 л.с.,бензиновый ,АИ-98 ,5.4 с,13.8 л,Германия ,J ,210 км/ч,Euro 6 ,7 700 000 
"Lada (ВАЗ) Granta, 2019",2019,106 000 км,серый,2 001  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,87 л.с.,бензиновый ,АИ-95 ,11.6 с,7.5 л,Россия ,B ,172 км/ч,Euro 5 ,649 990 
"Lexus NX 200t, 2015",2015,88 900 км,чёрный,16 660  / год,автоматическая,полный,Не требует ремонта,2 владельца,2.0 л,238 л.с.,бензиновый ,АИ-95 ,7.2 с,8.8 л,Япония ,D ,200 км/ч,Euro 6 ,3 250 000 
"Lada (ВАЗ) Largus, 2013",2013,59 668 км,бежевый,1 848  / год,механическая,передний,Не требует ремонта,3 или более,1.6 л,84 л.с.,бензиновый ,АИ-95 ,14.5 с,9.3 л,Россия ,C ,156 км/ч,Euro 4 ,730 000 
"Mazda CX-7, 2007",2007,184 000 км,чёрный,15 470  / год,автоматическая,полный,Не требует ремонта,3 или более,2.3 л,238 л.с.,бензиновый ,АИ-95 ,8.3 с,11.5 л,Япония ,D ,181 км/ч,?,700 000 
"Volkswagen Polo, 2020",2020,81 220 км,белый,3 630  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,110 л.с.,бензиновый ,АИ-95 ,10.7 с,6.4 л,Германия ,B ,195 км/ч,Euro 5 ,1 614 000 
"BMW 5 серии 530d xDrive, 2019",2019,50 000 км,синий,17 430  / год,автоматическая,полный,Не требует ремонта,2 владельца,3.0 л,249 л.с.,дизельный ,ДТ ,5.4 с,5.6 л,Германия ,E ,250 км/ч,Euro 6 ,4 800 000 
"Lada (ВАЗ) Vesta Cross, 2023",2023,20 982 км,белый,3 498  / год,механическая,передний,Не требует ремонта,2 владельца,1.6 л,106 л.с.,бензиновый ,АИ-92 ,12.9 с,7.3 л,Россия ,B ,174 км/ч,Euro 5 ,1 497 000 
"Hyundai Tucson, 2021",2021,31 000 км,белый,9 300  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,186 л.с.,дизельный ,ДТ ,9.4 с,6.3 л,Южная Корея ,C ,201 км/ч,Euro 5 ,3 330 000 
"Toyota Land Cruiser 105, 2005",2005,320 000 км,чёрный,4 192  / год,механическая,полный,Не требует ремонта,1 владелец,4.2 л,131 л.с.,дизельный ,ДТ ,13.6 с,11.1 л,Япония ,J ,170 км/ч,?,2 990 000 
"BMW X3 20d xDrive, 2018",2018,107 000 км,синий,9 310  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,190 л.с.,дизельный ,ДТ ,8.0 с,5.1 л,Германия ,D ,213 км/ч,Euro 6 ,3 890 000 
"Kia Rio, 2016",2016,137 550 км,красный,3 936  / год,автоматическая,передний,Не требует ремонта,3 или более,1.6 л,123 л.с.,бензиновый ,АИ-95 ,11.2 с,6.4 л,Южная Корея ,B ,185 км/ч,Euro 4 ,1 140 000 
"Volkswagen Polo, 2018",2018,85 908 км,белый,3 520  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,110 л.с.,бензиновый ,АИ-95 ,10.4 с,5.8 л,Германия ,B ,191 км/ч,Euro 5 ,1 139 000 
"Kia Cerato 6-speed, 2011",2011,148 824 км,серебристый,4 158  / год,автоматическая,передний,Не требует ремонта,3 или более,1.6 л,126 л.с.,бензиновый ,АИ-95 ,11.5 с,7.0 л,Южная Корея ,C ,190 км/ч,Euro 4 ,890 000 
"BMW 3 серии 320d, 2002",2002,470 041 км,серебристый,4 800  / год,механическая,задний,Не требует ремонта,3 или более,2.0 л,150 л.с.,дизельный ,ДТ ,8.9 с,5.5 л,Германия ,D ,221 км/ч,?,749 000 
"Nissan Tiida, 2012",2012,158 045 км,коричневый,3 410  / год,механическая,передний,Не требует ремонта,2 владельца,1.6 л,110 л.с.,бензиновый ,АИ-95 ,11.1 с,6.9 л,Япония ,C ,186 км/ч,?,800 000 
"Skoda Octavia, 2012",2012,178 000 км,бежевый,3 162  / год,автоматическая,передний,Не требует ремонта,3 или более,1.6 л,102 л.с.,бензиновый ,АИ-95 ,14.1 с,7.9 л,Чехия ,C ,184 км/ч,Euro 4 ,890 000 
"УАЗ Patriot, 2019",2019,94 000 км,серый,5 100  / год,механическая,полный,Не требует ремонта,2 владельца,2.7 л,150 л.с.,бензиновый ,АИ-92 ,20.0 с,12.5 л,Россия ,J ,150 км/ч,Euro 5 ,1 325 000 
"Toyota Hilux, 2014",2014,335 000 км,серый,?,механическая,полный,Не требует ремонта,1 владелец,2.5 л,144 л.с.,дизельный ,ДТ ,13.3 с,8.3 л,Япония ,J ,170 км/ч,Euro 4 ,1 800 000 
"Ford Explorer, 2018",2018,130 022 км,серебристый,17 430  / год,автоматическая,полный,Не требует ремонта,2 владельца,3.5 л,249 л.с.,бензиновый ,АИ-92 ,8.7 с,11.0 л,США ,E ,183 км/ч,?,3 180 000 
"Volkswagen Polo, 2021",2021,56 400 км,серый,3 630  / год,автоматическая,передний,Не требует ремонта,1 владелец,1.6 л,110 л.с.,бензиновый ,АИ-95 ,11.8 с,6.6 л,Германия ,B ,190 км/ч,Euro 5 ,1 650 000 
"Hyundai Solaris, 2013",2013,123 822 км,чёрный,3 813  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,123 л.с.,бензиновый ,АИ-92 ,10.2 с,6.0 л,Южная Корея ,B ,190 км/ч,?,900 000 
"Genesis GV80, 2020",2020,73 000 км,белый,17 928  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,249 л.с.,дизельный ,ДТ ,7.5 с,8.8 л,Южная Корея ,E ,220 км/ч,Euro 5 ,6 490 000 
"Skoda Kodiaq, 2018",2018,74 001 км,чёрный,8 820  / год,роботизированная,полный,Не требует ремонта,2 владельца,2.0 л,180 л.с.,бензиновый ,АИ-95 ,7.8 с,7.3 л,Чехия ,D ,206 км/ч,Euro 6 ,3 092 000 
"Lada (ВАЗ) Granta, 2022",2022,26 000 км,белый,2 250  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,90 л.с.,бензиновый ,АИ-95 ,11.3 с,6.8 л,Россия ,B ,178 км/ч,Euro 5 ,750 000 
"Honda Civic, 2008",2008,246 231 км,красный,4 480  / год,автоматическая,передний,Не требует ремонта,3 или более,1.8 л,140 л.с.,бензиновый ,АИ-95 ,10.4 с,6.7 л,Япония ,C ,200 км/ч,?,829 000 
"Chevrolet Niva, 2006",2006,182 000 км,зелёный,1 600  / год,механическая,полный,Не требует ремонта,3 или более,1.7 л,80 л.с.,бензиновый ,АИ-95 ,19.0 с,10.8 л,США ,J ,140 км/ч,?,230 000 
"Nissan Qashqai, 2019",2019,150 000 км,красный,3 680  / год,вариатор,передний,Не требует ремонта,1 владелец,1.2 л,115 л.с.,бензиновый ,АИ-95 ,12.9 с,6.2 л,Япония ,C ,173 км/ч,Euro 5 ,1 650 000 
"GAC GN8, 2020",2020,108 262 км,чёрный,9 500  / год,автоматическая,передний,Не требует ремонта,2 владельца,2.0 л,190 л.с.,бензиновый ,АИ-92 ,?,6.8 л,Китай ,M ,?,Euro 5 ,2 900 000 
"Lada (ВАЗ) Vesta, 2020",2020,120 000 км,синий,3 498  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,106 л.с.,бензиновый ,АИ-92 ,11.2 с,6.9 л,Россия ,B ,175 км/ч,Euro 5 ,969 990 
"Volkswagen Passat, 2008",2008,299 000 км,чёрный,3 150  / год,механическая,передний,Не требует ремонта,3 или более,1.9 л,105 л.с.,дизельный ,ДТ ,12.4 с,5.6 л,Германия ,D ,185 км/ч,?,700 000 
"Hyundai Creta, 2018",2018,125 000 км,серый,3 872  / год,автоматическая,полный,Не требует ремонта,1 владелец,1.6 л,121 л.с.,бензиновый ,АИ-95 ,13.1 с,7.6 л,Южная Корея ,B ,167 км/ч,Euro 6 ,1 800 000 
"Hyundai Elantra, 2024",2024,3 325 км,белый,3 795  / год,вариатор,передний,Не требует ремонта,1 владелец,1.5 л,115 л.с.,бензиновый ,АИ-95 ,?,5.3 л,Южная Корея ,C ,190 км/ч,Euro 6 ,2 659 000 
"Mercedes-Benz E-Класс 200, 2017",2017,200 000 км,чёрный,9 016  / год,автоматическая,задний,Не требует ремонта,3 или более,2.0 л,184 л.с.,бензиновый ,АИ-95 ,7.7 с,6.3 л,Германия ,E ,240 км/ч,Euro 6 ,2 400 000 
"Hyundai Solaris, 2017",2017,59 600 км,чёрный,3 936  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,123 л.с.,бензиновый ,АИ-92 ,10.3 с,6.0 л,Южная Корея ,B ,193 км/ч,Euro 5 ,1 310 000 
"Kia Sorento, 2019",2019,80 001 км,белый,9 800  / год,автоматическая,полный,Не требует ремонта,3 или более,2.2 л,200 л.с.,дизельный ,ДТ ,9.4 с,6.5 л,Южная Корея ,D ,203 км/ч,Euro 5 ,3 050 000 
"GAC GS8, 2023",2023,20 км,чёрный,16 632  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,231 л.с.,бензиновый ,АИ-95 ,?,9.2 л,Китай ,E ,?,Euro 5 ,3 930 000 
"Hyundai Elantra, 2008",2008,202 234 км,красный,3 660  / год,механическая,передний,Не требует ремонта,2 владельца,1.6 л,122 л.с.,бензиновый ,АИ-92 ,11.6 с,6.2 л,Южная Корея ,C ,183 км/ч,?,719 000 
"Mercedes-Benz E-Класс AMG 63 AMG S, 2018",2018,19 899 км,серый,76 500  / год,автоматическая,полный,Не требует ремонта,3 или более,4.0 л,612 л.с.,бензиновый ,АИ-98 ,3.4 с,9.1 л,Германия ,E ,250 км/ч,Euro 6 ,9 300 000 
"BMW X5 30d, 2021",2021,76 000 км,чёрный,30 030  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,286 л.с.,дизельный ,ДТ ,6.1 с,6.2 л,Германия ,E ,235 км/ч,Euro 6 ,7 600 000 
"Hyundai Tucson, 2021",2021,18 000 км,серый,9 300  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,186 л.с.,дизельный ,ДТ ,9.4 с,6.3 л,Южная Корея ,C ,201 км/ч,Euro 5 ,3 512 000 
"Audi A6, 2018",2018,88 000 км,чёрный,9 310  / год,роботизированная,передний,Не требует ремонта,3 или более,2.0 л,190 л.с.,дизельный ,ДТ ,8.2 с,4.2 л,Германия ,E ,232 км/ч,Euro 6 ,2 600 000 
"Renault Duster, 2014",2014,117 000 км,красный,3 162  / год,механическая,полный,Не требует ремонта,1 владелец,1.6 л,102 л.с.,бензиновый ,АИ-95 ,13.5 с,8.2 л,Франция ,B ,158 км/ч,Euro 4 ,975 000 
"Kia Rio X, 2021",2021,100 700 км,чёрный,4 059  / год,автоматическая,передний,Не требует ремонта,1 владелец,1.6 л,123 л.с.,бензиновый ,АИ-92 ,11.6 с,6.8 л,Южная Корея ,B ,182 км/ч,Euro 5 ,2 049 000 
"Infiniti QX80, 2019",2019,66 585 км,серый,50 625  / год,автоматическая,полный,Не требует ремонта,1 владелец,5.6 л,405 л.с.,бензиновый ,АИ-95 ,7.5 с,14.5 л,Япония ,J ,210 км/ч,Euro 5 ,6 700 000 
"BMW X3 20i xDrive, 2018",2018,65 000 км,белый,9 016  / год,автоматическая,полный,Не требует ремонта,2 владельца,2.0 л,184 л.с.,бензиновый ,АИ-95 ,8.3 с,7.6 л,Германия ,D ,215 км/ч,Euro 6 ,3 950 000 
"Honda Civic, 2008",2008,297 000 км,чёрный,4 480  / год,механическая,передний,Не требует ремонта,3 или более,1.8 л,140 л.с.,бензиновый ,АИ-95 ,9.0 с,6.6 л,Япония ,C ,200 км/ч,?,540 000 
"Mercedes-Benz GLS 400, 2016",2016,120 000 км,чёрный,41 625  / год,автоматическая,полный,Не требует ремонта,3 или более,3.0 л,333 л.с.,бензиновый ,АИ-95 ,6.6 с,9.4 л,Германия ,F ,240 км/ч,Euro 6 ,4 500 000 
"Lada (ВАЗ) Vesta, 2020",2020,219 810 км,белый,3 498  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,106 л.с.,бензиновый ,АИ-92 ,11.2 с,6.9 л,Россия ,B ,175 км/ч,Euro 5 ,829 000 
"Ford Focus, 2008",2008,190 152 км,красный,3 450  / год,механическая,передний,Не требует ремонта,3 или более,1.6 л,115 л.с.,бензиновый ,АИ-95 ,10.8 с,6.4 л,США ,C ,190 км/ч,?,569 000 
"Honda Stepwgn, 2017",2017,148 300 км,чёрный,5 100  / год,вариатор,передний,Не требует ремонта,1 владелец,1.5 л,150 л.с.,бензиновый ,АИ-95 ,12.0 с,5.9 л,Япония ,M ,?,?,2 159 990 
"Hyundai Solaris, 2018",2018,132 000 км,чёрный,2 300  / год,механическая,передний,Не требует ремонта,1 владелец,1.4 л,100 л.с.,бензиновый ,АИ-92 ,12.2 с,5.7 л,Южная Корея ,B ,185 км/ч,Euro 5 ,1 090 000 
"Lada (ВАЗ) XRAY Cross, 2021",2021,41 866 км,белый,3 498  / год,механическая,передний,Не требует ремонта,2 владельца,1.6 л,106 л.с.,бензиновый ,АИ-95 ,13.5 с,7.4 л,Россия ,B ,165 км/ч,Euro 5 ,1 120 000 
"Mazda 3, 2007",2007,260 000 км,серый,3 150  / год,механическая,передний,Не требует ремонта,3 или более,1.6 л,105 л.с.,бензиновый ,АИ-95 ,11.2 с,6.9 л,Япония ,C ,182 км/ч,?,460 000 
"Honda Civic, 2022",2022,9 900 км,белый,7 426  / год,вариатор,передний,Не требует ремонта,1 владелец,2.0 л,158 л.с.,бензиновый ,АИ-95 ,?,7.1 л,Япония ,C ,?,?,2 760 000 
"Lada (ВАЗ) Granta Sport, 2018",2018,94 972 км,белый,3 648  / год,механическая,передний,Не требует ремонта,3 или более,1.6 л,114 л.с.,бензиновый ,АИ-95 ,9.5 с,8.6 л,Россия ,B ,195 км/ч,Euro 5 ,829 000 
"Toyota Land Cruiser, 2012",2012,353 462 км,серый,37 080  / год,автоматическая,полный,Не требует ремонта,2 владельца,4.6 л,309 л.с.,бензиновый ,АИ-95 ,8.6 с,13.6 л,Япония ,J ,205 км/ч,Euro 4 ,3 050 000 
"Lada (ВАЗ) Priora, 2010",2010,98 000 км,серый,2 156  / год,механическая,передний,Не требует ремонта,3 или более,1.6 л,98 л.с.,бензиновый ,АИ-95 ,11.5 с,7.2 л,Россия ,B ,183 км/ч,Euro 4 ,369 000 
"Kia Sportage, 2016",2016,153 653 км,коричневый,5 100  / год,автоматическая,полный,Не требует ремонта,2 владельца,2.0 л,150 л.с.,бензиновый ,АИ-95 ,11.6 с,8.3 л,Южная Корея ,C ,180 км/ч,Euro 5 ,2 149 000 
"Lada (ВАЗ) Priora, 2018",2018,114 686 км,серый,2 001  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,87 л.с.,бензиновый ,АИ-95 ,12.5 с,7.3 л,Россия ,B ,176 км/ч,Euro 4 ,670 000 
"Toyota Yaris L, 2020",2020,8 000 км,серебристый,3 696  / год,вариатор,передний,Не требует ремонта,1 владелец,1.5 л,112 л.с.,бензиновый ,АИ-92 ,11.6 с,5.1 л,Япония ,B ,?,?,1 990 000 
"Mazda 6, 2011",2011,146 101 км,красный,3 720  / год,механическая,передний,Не требует ремонта,3 или более,1.8 л,120 л.с.,бензиновый ,АИ-95 ,11.4 с,6.4 л,Япония ,D ,196 км/ч,Euro 4 ,1 169 000 
"Mercedes-Benz GLC 300, 2020",2020,48 000 км,белый,17 928  / год,автоматическая,полный,Не требует ремонта,3 или более,2.0 л,249 л.с.,бензиновый ,АИ-95 ,6.2 с,7.4 л,Германия ,D ,240 км/ч,Euro 6 ,5 300 000 
"Jeep Grand Cherokee, 2012",2012,194 000 км,чёрный,27 170  / год,автоматическая,полный,Не требует ремонта,2 владельца,3.6 л,286 л.с.,бензиновый ,АИ-95 ,9.1 с,11.4 л,США ,J ,206 км/ч,?,1 870 000 
"Infiniti M37, 2013",2013,179 532 км,чёрный,39 960  / год,автоматическая,полный,Не требует ремонта,3 или более,3.7 л,333 л.с.,бензиновый ,АИ-95 ,6.3 с,10.9 л,Япония ,E ,246 км/ч,Euro 4 ,1 689 000 
"Toyota Camry, 2020",2020,54 000 км,серый,13 390  / год,автоматическая,передний,Не требует ремонта,1 владелец,2.5 л,206 л.с.,бензиновый ,АИ-95 ,8.7 с,6.8 л,Япония ,D ,210 км/ч,Euro 6 ,2 930 000 
"Kia Rio, 2010",2010,165 150 км,красный,2 134  / год,механическая,передний,Не требует ремонта,3 или более,1.4 л,97 л.с.,бензиновый ,АИ-95 ,12.3 с,6.2 л,Южная Корея ,B ,176 км/ч,?,630 000 
"BMW X6 40d, 2020",2020,51 373 км,чёрный,45 900  / год,автоматическая,полный,Не требует ремонта,3 или более,3.0 л,340 л.с.,дизельный ,ДТ ,5.5 с,6.2 л,Германия ,E ,245 км/ч,Euro 6 ,10 190 000 
"Chevrolet Niva, 2014",2014,116 558 км,серый,1 760  / год,механическая,полный,Не требует ремонта,3 или более,1.7 л,80 л.с.,бензиновый ,АИ-95 ,19.0 с,10.8 л,США ,J ,140 км/ч,Euro 4 ,690 000 
"Lada (ВАЗ) Vesta SW Cross, 2018",2018,131 500 км,белый,3 904  / год,механическая,передний,Не требует ремонта,3 или более,1.8 л,122 л.с.,бензиновый ,АИ-92 ,11.2 с,7.9 л,Россия ,B ,180 км/ч,Euro 5 ,1 020 000 
